Rank ,Name,Networth,Age
1,Elon Musk ,219,50
2,Jeff Bezos ,171,58
3,Bernard Arnault & family ,158,73
4,Bill Gates ,129,66
5,Warren Buffett ,118,91
6,Larry Page ,111,49
7,Sergey Brin ,107,48
8,Larry Ellison ,106,77
9,Steve Ballmer ,91.4,66
10,Mukesh Ambani ,90.7,64
11,Gautam Adani & family ,90,59
12,Michael Bloomberg ,82,80
13,Carlos Slim Helu & family ,81.2,82
14,Francoise Bettencourt Meyers & family ,74.8,68
15,Mark Zuckerberg ,67.3,37
16,Jim Walton ,66.2,73
17,Zhong Shanshan ,65.7,67
18,Alice Walton ,65.3,72
19,Rob Walton ,65,77
19,Changpeng Zhao ,65,44
21,Charles Koch ,60,86
21,Julia Koch & family ,60,59
23,Amancio Ortega ,59.6,86
24,Michael Dell ,55.1,57
25,Zhang Yiming ,50,38
26,David Thomson & family ,49.2,64
27,Phil Knight & family ,47.3,84
28,Dieter Schwarz ,47.1,82
29,Robin Zeng ,44.8,53
30,MacKenzie Scott ,43.6,51
31,Rodolphe Saadé & family ,41.4,52
32,François Pinault & family ,40.4,85
33,Klaus-Michael Kuehne ,37.3,84
34,Ma Huateng ,37.2,50
35,Beate Heister & Karl Albrecht Jr. & family ,36.8,64
36,Giovanni Ferrero ,36.2,57
37,Li Ka-shing ,34.8,93
37,Stephen Schwarzman ,34.8,75
39,Lee Shau Kee ,32.6,94
40,Len Blavatnik ,32.5,64
41,Jacqueline Mars ,31.7,82
41,John Mars ,31.7,86
43,Alain Wertheimer ,31.2,73
43,Gerard Wertheimer ,31.2,71
45,German Larrea Mota Velasco & family ,30.8,68
46,Gina Rinehart ,30.2,68
47,Shiv Nadar ,28.7,76
48,Jim Simons ,28.6,83
49,He Xiangjian ,28.3,79
50,Miriam Adelson ,27.5,76
51,Dietrich Mateschitz ,27.4,77
52,Leonardo Del Vecchio & family ,27.3,86
53,Ken Griffin ,27.2,53
54,Tadashi Yanai & family ,26.1,73
55,William Lei Ding ,25.2,50
56,Susanne Klatten ,24.3,59
56,Cyrus Poonawalla ,24.3,80
56,Wang Wei ,24.3,51
59,Qin Yinglin ,24.1,56
60,Sam Bankman-Fried ,24,30
61,Takemitsu Takizaki ,23.9,76
62,Li Shufu ,23.7,58
63,Emmanuel Besnier ,23.5,51
64,R. Budi Hartono ,23.2,81
65,Leonard Lauder ,23.1,89
66,Guillaume Pousaz ,23,40
67,Iris Fontbona & family ,22.8,79
67,Jack Ma ,22.8,57
69,Michael Hartono ,22.3,82
70,Eric Schmidt ,22.1,66
71,Ray Dalio ,22,72
71,Daniel Gilbert ,22,60
73,"Thomas Frist, Jr. & family ",21.8,83
74,Masayoshi Son ,21.3,64
75,Abigail Johnson ,21.2,60
76,Rupert Murdoch & family ,20.8,91
77,Stefan Quandt ,20.7,55
78,Jensen Huang ,20.6,59
79,Huang Shilin ,20.3,55
80,Thomas Peterffy ,20.1,77
81,Radhakishan Damani ,20,67
82,Pang Kang ,19.6,66
83,Wang Chuanfu ,19.5,56
84,Reinhold Wuerth & family ,19,86
85,"Theo Albrecht, Jr. & family ",18.7,71
85,Yang Huiyan & family ,18.7,40
87,Vladimir Lisin ,18.4,65
88,Fan Hongwei & family ,18.2,55
89,Lakshmi Mittal ,17.9,71
90,Andrew Forrest ,17.8,60
91,Jiang Rensheng & family ,17.7,68
91,Savitri Jindal & family ,17.7,72
91,Wang Wenyin ,17.7,54
94,Li Xiting ,17.6,71
94,Stefan Persson ,17.6,74
96,Steve Cohen ,17.4,65
97,Vladimir Potanin ,17.3,61
98,Harold Hamm & family ,17.2,76
99,Sun Piaoyang ,17.1,63
100,Luo Liguo & family ,17,66
100,Peter Woo ,17,75
102,Gianluigi & Rafaela Aponte ,16.8,81
103,David Tepper ,16.7,64
104,Renata Kellnerova & family ,16.6,54
104,"John Menard, Jr. ",16.6,82
106,Kumar Birla ,16.5,54
106,Carl Icahn ,16.5,86
106,Hank & Doug Meijer ,16.5,64
106,Lukas Walton ,16.5,35
110,Laurene Powell Jobs & family ,16.4,58
111,James Ratcliffe ,16.3,69
112,Donald Bren ,16.2,89
113,Xu Hang ,16.1,55
114,Lu Xiangyang ,15.7,59
115,Dilip Shanghvi ,15.6,66
116,Wei Jianjun & family ,15.5,58
117,Jorge Paulo Lemann & family ,15.4,82
117,Eyal Ofer ,15.4,71
119,Mike Cannon-Brookes ,15.3,42
119,Wu Yajun ,15.3,58
121,Charlene de Carvalho-Heineken & family ,15.2,67
121,Michael Platt ,15.2,54
123,Pavel Durov ,15.1,37
123,Scott Farquhar ,15.1,42
125,Pallonji Mistry ,15,92
126,Dang Yanbao ,14.8,49
127,Robert Pera ,14.6,44
128,Donald Newhouse ,14.4,92
129,Uday Kotak ,14.3,63
130,Aliko Dangote ,14,64
130,Leonid Mikhelson ,14,66
132,Sunil Mittal & family ,13.9,64
133,Robert & Philip Ng ,13.7,64
134,Liu Hanyuan ,13.65,58
135,Joseph Lau ,13.6,70
135,Anders Holch Povlsen ,13.6,49
137,Dhanin Chearavanont ,13.5,82
138,Gong Hongjia & family ,13.2,57
138,Liu Yongxing ,13.2,73
138,Alexey Mordashov ,13.2,56
138,Wang Jianlin ,13.2,67
142,David Duffield ,12.9,81
142,Li Zhenguo & family ,12.9,54
144,Harry Triguboff ,12.8,89
144,Zhang Zhidong ,12.8,50
146,Chen Bang ,12.7,56
146,John Doerr ,12.7,70
146,Hinduja brothers ,12.7,64
149,Kwong Siu-hing ,12.6,92
150,Pei Zhenhua ,12.5,63
151,Ricardo Salinas Pliego & family ,12.4,66
152,Jim Pattison ,12.2,93
152,Charles Schwab ,12.2,84
154,Goh Cheng Liang ,12.1,94
154,Lin Jianhua & family ,12.1,59
156,Charoen Sirivadhanabhakdi ,12,77
156,Jeff Yass ,12,63
158,John Fredriksen ,11.9,77
158,Andreas Struengmann & family ,11.9,72
158,Thomas Struengmann & family ,11.9,72
161,Mikhail Fridman ,11.8,57
161,Sarath Ratanavadi ,11.8,56
163,Robert Kuok ,11.7,98
163,Lei Jun ,11.7,52
163,Zhang Congyuan ,11.7,74
166,Lui Che Woo ,11.6,93
167,Brian Chesky ,11.5,40
167,Israel Englander ,11.5,73
167,Dustin Moskovitz ,11.5,37
167,Alisher Usmanov ,11.5,68
171,Jay Chaudhry ,11.4,62
171,Anthony Pratt ,11.4,61
173,Colin Zheng Huang ,11.3,42
173,Jin Baofang ,11.3,69
173,Pierre Omidyar ,11.3,54
173,Gennady Timchenko ,11.3,69
177,Carl Cook ,11.1,59
177,Andrey Melnichenko ,11.1,50
179,Xing Wang ,11,43
180,Philip Anschutz ,10.9,82
180,David Cheriton ,10.9,71
180,Alexander Otto ,10.9,54
183,Diane Hendricks ,10.7,75
183,Stanley Kroenke ,10.7,74
185,Jerry Jones ,10.6,79
185,Quek Leng Chan ,10.6,80
185,Eduardo Saverin ,10.6,40
188,Vagit Alekperov ,10.5,71
188,Richard Liu ,10.5,48
188,Idan Ofer ,10.5,66
191,Melker Schorling & family ,10.4,74
192,"Chase Coleman, III. ",10.3,46
192,Shuirong Li ,10.3,65
192,Stefano Pessina ,10.3,80
192,Mikhail Prokhorov ,10.3,56
192,Marcel Herrmann Telles ,10.3,72
197,Leon Black ,10,70
197,Joe Gebbia ,10,40
197,David Geffen ,10,79
197,Yu Renrong ,10,56
